,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
tension_l1_l2_v,-0.16069132022491053,0.3264219487074784,0.08307553682186691,-0.10319691671256519,0.06630649775714689,-0.05623068452593726,5.217098189609952e-05,0.025281375492743206,-0.058161203331328654,-0.12357407662250451,0.12300328610062848,0.058635607801366126,0.03440295177293271,-0.14406218182886044,0.40221358032314497,0.17305991388307668,-0.347726472161546,0.10031348602385805,-0.0241242235903287,-0.000974149596153241,0.01667962453129508,-0.11381037683390781,-0.03859883162217168,-0.14005288086782955,-0.04998839688798076,0.37435121020045353,0.41660997004476774,0.32303104508210023,-0.06744161554677579
tension_l3_l1_v,-0.16180904725389267,0.3158403922619707,0.07402252774804184,-0.14122590706484095,0.101958867844655,-0.0765200948831027,0.003750146622254908,0.009098590998268128,-0.05102009549900289,-0.13364537538339255,0.13236320289585593,0.19000020566002498,-0.20692545980180624,0.08223877724498978,0.4989027664969007,0.07760847227433904,-0.07014402622094652,-0.04404832174199448,-0.005242814373898754,0.14405125497420965,-0.15315551518788248,0.13566146449084193,0.13039801278584776,0.05588744719735964,0.02806541345105687,-0.31424403687133007,-0.39701583069234125,-0.3171100153988365,0.07971490791245062
corriente_l1_a,0.07469620502461581,-0.05119066504345813,-0.29987464967747557,0.5309869337551772,-0.048132838987420455,-0.022854390397177782,-0.022068016230855945,0.10852908584813901,0.19636807145431096,0.051158338994279726,-0.03777127699418019,0.012228044915380194,-0.1038309947115727,-0.2734196235590375,0.06234340496318418,0.3785590606892029,-0.09573217935088725,-0.07256498575923653,-0.0016941579133523846,-0.005084680446149237,-0.2537837735125652,-0.0215727793037562,-0.025790133504724415,-0.15812158414057417,-0.012656021887782028,0.2845657228255397,-0.16655076516681133,-0.2913931957021992,-0.17479018391225912
corriente_l3_a,0.19944875656779548,-0.12259092265116212,-0.3154509172978808,0.13545087357954927,-0.10136372872573596,0.07692210032616367,-0.02150652107850242,0.005207193905484114,0.07224469419530719,0.15998695751024136,-0.18217225694373854,0.05621490317855479,-0.09776245758527621,-0.09154720672052327,0.30393116955599664,0.2395609488486612,-0.03136858058878555,-0.13128535584697967,0.010148482518734283,0.1388504610429578,0.16576078054984708,0.1659336135440281,0.15044479939015368,0.3475544664433449,0.03444577032738853,-0.3571881132418932,0.26157886932052776,0.325916734356977,0.19061614398186197
factor_de_potencia_l1,-0.1339245789628356,0.05855980305125611,0.3613229454720334,0.2525312621460992,-0.21431071522429468,0.04329433183430441,-0.0017213296472737235,-0.03196292851525545,0.10338507708209016,0.15514106983117876,-0.19865137604073146,-0.0018899098088643953,-0.22779398649910756,0.25074139890957287,0.3036276671344025,0.013586106950264902,0.33111994436087866,-0.24468025752629669,0.09579857518817463,-0.3377413071457103,0.2175960981085448,-0.18081435637676632,-0.11563024710890202,-0.1040735276065137,-0.045977549381766444,0.048497625384079784,0.16563067330836861,-0.13366537807634546,0.08577212263338262
factor_de_potencia_l2,-0.03019248337132203,0.08327600136527287,0.4390241209767198,0.06835003223725673,-0.24404031649545754,0.0881283553739105,0.0014525717052195537,-0.06730115743637571,0.028639646376302345,0.12558921420693778,-0.19267395144301083,-0.0024054454037785167,-0.08804901900594293,-0.11417755726972631,-0.06799799105499538,-0.10446312529881516,-0.0938609312166846,-0.06505534207365406,-0.29237927325447344,0.05357426132203164,-0.3595373642577121,0.1431978543893364,0.1580242012668342,0.4868051321353382,0.03504002865355298,0.263167945717861,-0.13403686603962536,0.16108829209328654,-0.07291373974372227
factor_de_potencia_l3,0.011268286188929106,0.1048132710540466,0.43545168129921913,0.1574280543346495,-0.18040890029322537,0.08549672703540812,-0.009304901314292933,0.001299699452379236,0.055465127978754754,0.07570195374481284,-0.14184821782610046,0.07921257690703774,0.09848122011214751,-0.2588311948412921,-0.15142224756712735,0.13239110996169812,-0.19718628260506188,0.2538388099063488,0.37729247589193593,0.3350612629086081,0.3499411663902742,0.17224426090293948,-0.0047864181761505,-0.192210774177934,-0.017584073432929344,-0.14940031565152156,-0.10592613379034437,-0.03621734018243619,-0.0006558246656778177
flicker_pst_l1_pst,0.005048082540523227,0.15819660953838027,-0.018061421268896132,-0.1379184262873693,0.4003654927564268,0.0026710544912349433,0.026874737844815148,-0.2607246219945746,0.734990009146801,-0.1285261660790222,-0.4022345781765625,-0.02013206947385745,0.05844913309602367,0.023911755194613197,-0.02175124307166915,-0.03957477038187623,-0.00822466579572538,0.036064757078736784,-0.008659172600496657,-0.0034894447156061884,-0.007841094439433913,-0.007342626763477153,0.0035114959301795986,-0.0007110630117621912,-0.0034716433494418777,0.0051002021804588136,0.0020295384702606503,0.00341917251016937,0.0030374548200359044
flicker_pst_l2_pst,0.019502127784465566,0.11840208159754814,-0.0412309186388665,0.27944240307959073,0.30511431477561757,0.409009932734968,-0.03445583175742103,-0.19516914875643415,-0.5085204332551196,-0.4133094869931089,-0.41383331540402496,-0.05397313407615824,-0.03486254903977688,0.013078294166830992,-0.023869305805620827,-0.010909976347676664,0.014312271906293967,-0.007481763008758246,0.0015697563845396777,-0.01415445578501673,-0.0003285806069847449,-0.0006213782860955686,-0.002414480365907756,0.0009264806515743748,0.0017835761268026372,-0.0011106650209947205,-0.0006089671001818076,-0.003274779030880791,0.00029908081671656245
flicker_pst_l3_pst,0.01864200557073556,0.15416655487937042,-0.0169077417036524,0.1088423300005267,0.19129392545882457,0.5516524977271321,-0.08831020960332467,-0.41387388281180787,0.08468846548042755,0.41552258344724385,0.5043013817176663,-0.07065238839555081,-0.0483046086667633,0.031084340246542625,-0.018444845189025023,-0.009915152077713178,-0.021948279262970105,0.012150728000690976,-0.002146870262031761,0.006491051447395082,0.011669118184579285,-0.0002857661662061715,0.003883601345283794,-0.0012182710164693432,0.0050454885537732355,-0.0015856573592613408,0.00046968811708069416,-0.0026280752628964174,-0.0018921033871255489
