,Tensión: L1 (V),Tensión: L2 (V),Tensión: L3 (V),Tensión: L1 - L2 (V),Tensión: L2 - L3 (V),Tensión: L3 - L1 (V),Corriente: L1 (A),Corriente: L2 (A),Corriente: L3 (A),Factor de potencia: L1 +,Factor de potencia: L2 +,Factor de potencia: L3 +,Flicker (Pst): L1 (Pst),Flicker (Pst): L2 (Pst),Flicker (Pst): L3 (Pst),Distorsión armónica: VL1 (%V THD),Distorsión armónica: VL2 (%V THD),Distorsión armónica: VL3 (%V THD),Distorsión armónica: IL1 (%I THD),Distorsión armónica: IL2 (%I THD),Distorsión armónica: IL3 (%I THD),Armónicos IL1: Armónico 2 (%IL1),Armónicos IL1: Armónico 3 (%IL1),Armónicos IL1: Armónico 5 (%IL1),Armónicos IL1: Armónico 6 (%IL1),Armónicos IL1: Armónico 7 (%IL1),Armónicos IL1: Armónico 11 (%IL1),Armónicos IL1: Armónico 13 (%IL1),Armónicos IL2: Armónico 2 (%IL2),Armónicos IL2: Armónico 3 (%IL2),Armónicos IL2: Armónico 5 (%IL2),Armónicos IL2: Armónico 7 (%IL2),Armónicos IL2: Armónico 9 (%IL2),Armónicos IL2: Armónico 11 (%IL2),Armónicos IL2: Armónico 13 (%IL2),Armónicos VL1: Armónico 2 (%VL1),Armónicos VL1: Armónico 3 (%VL1),Armónicos VL1: Armónico 5 (%VL1),Armónicos VL1: Armónico 7 (%VL1),Armónicos VL1: Armónico 9 (%VL1),Armónicos VL1: Armónico 11 (%VL1),Armónicos VL1: Armónico 13 (%VL1),Armónicos VL2: Armónico 2 (%VL2),Armónicos VL2: Armónico 3 (%VL2),Armónicos VL2: Armónico 5 (%VL2),Armónicos VL2: Armónico 7 (%VL2),Armónicos VL2: Armónico 9 (%VL2),Armónicos VL2: Armónico 11 (%VL2),Armónicos VL2: Armónico 13 (%VL2),Armónicos VL3: Armónico 2 (%VL3),Armónicos VL3: Armónico 3 (%VL3),Armónicos VL3: Armónico 5 (%VL3),Armónicos VL3: Armónico 7 (%VL3),Armónicos VL3: Armónico 9 (%VL3),Armónicos VL3: Armónico 11 (%VL3),Armónicos VL3: Armónico 13 (%VL3)
Factor de potencia: L2 +,0.029322369942851815,0.036321772253923267,0.0266406188473709,0.05695241835210491,0.0584609625345727,0.044492689982140426,-2.191877167235246,-3.4435094060149765,-3.3318868238667547,0.0017450705965707952,0.0017460416864070946,0.001385009883746245,-0.00022775043805507174,-0.00022496512877661924,0.0002964397888549057,-6.061926493045114e-05,0.0007366606768740224,7.980297622478847e-05,-0.015472871368124332,0.024075220145473135,0.042324960772153745,0.00656945124948178,-0.0099404790794626,-0.00652816319890229,0.0007572472568357974,0.00669033323566088,-5.692400220135674e-05,-0.0006463665847237926,-9.897734195204474e-06,0.0006000653738599611,0.023365614769644043,0.0032254273091396088,-5.3311404102321706e-05,0.00030863414683896087,0.0028133655652430494,-1.5170571799648313e-06,-0.0006235422896227529,0.0015442526625550042,-0.0021613706465641843,-6.712592332830067e-06,-0.00010397135412069973,3.609665964131279e-06,-3.3030431049327743e-06,0.001010620229887222,0.0022097661705768952,-0.001502457666444255,0.00028722558649562616,-0.00046298770621538054,0.0005386595377543255,-2.5260038198166787e-06,-0.0004014526933865543,0.0017174687536406577,-0.002023164295265787,-2.332204412362902e-06,-2.7395177648149078e-05,1.5689746000626844e-05
Factor de potencia: L3 +,0.02236997717014268,0.029288954050013763,0.019355839748334564,0.04519527583779624,0.04611456095702532,0.03173139650367919,-1.4087043248719167,-2.4675073274408197,-2.447503061871379,0.0013560687109040507,0.001385009883746245,0.0012196335887722952,-4.784433462504345e-05,0.00015764221854544928,0.00041695702529716543,0.00011198806983933421,0.0008210314799494903,0.00012067219633968563,0.0018750722776156741,0.033289731643952894,0.0467068804516625,0.0039637868100607845,-0.006242909464303873,0.011809622937257758,0.0011858458512938835,0.010722623474260125,3.426583068460605e-06,6.703763370633254e-05,-2.4136079302187355e-06,0.006999223959013651,0.031015123292840407,0.007900269879972704,-4.8289429761541714e-05,0.0005261291563257429,0.004888777303667575,-8.049955733588785e-07,0.0001300005805430963,0.0006971797216295863,-0.0011497066080318147,-6.37741106805417e-06,-0.00042722623764531646,0.00012334690352825076,-2.633633764386585e-06,0.0006375343608946167,0.0010978636013991103,-0.0003761578932091002,0.0006812449746738068,-0.0005828873310982422,0.00043419420617988095,-1.7872019274030955e-06,0.00020269538903644314,0.0009174802978186147,-0.0010877048954296756,-2.654968723240592e-06,-0.00047963360473723065,2.1157675505435412e-05
Flicker (Pst): L1 (Pst),0.10920175572511602,0.11740285502073677,0.11271448195746578,0.19798959476914976,0.19848339679100874,0.19149412562560386,-1.3046766136607286,-1.8913729736711935,-2.000705607779591,-0.00039537091388859244,-0.00022775043805507174,-4.784433462504345e-05,0.020403048341588393,0.0023129830638318957,0.004538124569250754,0.014487691956771503,0.016274637503790237,0.012644483859921202,0.040654136840284384,0.04587697452317996,0.04339502592242612,0.01299799959754249,-0.008424479717667873,0.05169041111473294,0.0014308815782299385,-0.007101220807606008,9.910759150320266e-05,0.0004172642337988335,9.753861494184568e-05,0.010691815970191376,0.04419458457238095,0.006851825278493977,0.00010666061411261021,0.0031368554255478934,0.0048786368181217244,1.0105392107830426e-05,0.0014868499927628077,0.012943875289928327,0.007819284053069496,1.9236844716881204e-05,0.0014800222763800973,-1.744463364396305e-05,6.590085971372095e-06,-0.00019227907098983319,0.01428083350690788,0.009346048129376384,0.0017924546460511169,0.0017524618949946627,0.0002137930567829965,5.315676193457357e-06,-0.0006022708453217387,0.012071237678659188,0.007499748856271259,1.6232593023205662e-05,-9.824411209659237e-05,5.9343037032765917e-05
Flicker (Pst): L2 (Pst),0.05731258470731803,0.06566438696217877,0.05250358453786225,0.1099914406765367,0.10609278651272853,0.08792075291144319,2.291531032484133,0.9394820562052018,0.6207665300664458,-0.00015171722922469616,-0.00022496512877661924,0.00015764221854544928,0.0023129830638318957,0.021606232196841733,0.006514452769484772,0.009515629416589488,0.011105879548290407,0.00873898401819767,-0.0021429545603425895,0.043117229675794136,0.04223307709023953,-0.0711398071341684,-0.02178676165606995,0.046397763006617,0.0016995281910551598,0.001590053472726429,0.0003219269559104994,0.00360269132719605,0.00016256744400602971,0.026801025953022282,0.040014464839289575,0.0024747918380347927,0.0001367372771822641,0.0022674928030307455,0.011257424028286582,1.580516816725292e-05,0.0029004338579010896,0.0059161694785742356,0.00703259890708838,2.0779245741147756e-05,-0.00033145272672855736,0.0006777719265832631,1.5839137783666914e-05,3.941181569953003e-06,0.006816931578681037,0.009090566017752853,0.0029024065276579687,0.00028595252412686297,0.0005663607636024579,1.5873107400080913e-05,0.001473187146305106,0.006516703146739703,0.007110428299593179,1.2919123678038584e-05,-0.0015278285099223877,4.923397730468717e-06
Flicker (Pst): L3 (Pst),0.07537866546282428,0.08717163097699517,0.07557136874410875,0.14670128433981064,0.14180688777121264,0.12411365927101833,0.5148375419883682,-0.07361445827679855,-0.32816548766208575,0.00019061769844473303,0.0002964397888549057,0.00041695702529716543,0.004538124569250754,0.006514452769484772,0.02077110530306501,0.012389806075069721,0.014711629906128544,0.011448164875808893,0.03313387045337671,0.043272401785248486,0.05016088257456743,0.0009484806834091133,0.0025347526631434823,0.03918735728152069,0.003200401378868309,-0.0021087932862544107,0.00012209097894864477,0.0028442822780981756,9.631539494386165e-05,0.025125613424196138,0.04269066349407709,-0.007161436287160179,0.00016159770167694607,0.00040112943090694084,0.010429235444352763,7.3098417353217575e-06,0.00259363852248644,0.00845967892828605,0.009011219505306667,2.698232913106408e-05,-0.0005236837460092588,0.0005689877407341592,1.932233753324884e-05,0.0007430985389534575,0.009931983786372686,0.011286394109527292,0.0029410217833107186,0.0003362325184940271,0.0007408898470465064,1.1166766104285087e-05,0.0013457296936419106,0.008966040033153716,0.008368051791505004,2.013574509764678e-05,-0.001478454476595288,7.072827170358368e-05
Distorsión armónica: VL1 (%V THD),0.5922849165685039,0.6712462455336424,0.5993671846640911,1.133713445025118,1.1098954248692894,0.984151556463504,-1.0569922807380905,-8.825108424660995,-9.555228525691183,0.0004211810404038423,-6.061926493045114e-05,0.00011198806983933421,0.014487691956771503,0.009515629416589488,0.012389806075069721,0.09949602190687218,0.11766213058532471,0.09243154631969025,-0.28987543761377943,-0.014069372742795391,0.06888821544581988,-0.315092820015557,-0.09276558120797687,-0.08063248013110881,0.002898066046191611,-0.10405212472890021,0.001188166570367116,0.006163164383524044,0.0002845712434252512,0.02161456821910953,0.013904248830186155,-0.12861127697122826,0.00012380356147500272,0.0010614398959415637,0.009066706755521098,3.3891360773408894e-05,0.008508527315141146,0.08679926329865367,0.054649667148752835,1.5125108998928032e-05,0.005248682108328547,-0.00034311666131233034,4.25742065486046e-05,0.00838921629427572,0.10215903664364505,0.06912706440929542,0.010510159896475043,0.00513883413609107,0.0037328654469769994,4.005257053108306e-05,-0.003815102907148034,0.08769310197121848,0.051590497647035195,3.0806048788371124e-06,0.0018122374562484348,2.464170095989655e-05
Distorsión armónica: VL2 (%V THD),0.7498254590114998,0.8571474796976625,0.7580005637936452,1.4440562993633244,1.4156197922832487,1.2379893885547495,-2.4371608029852494,-14.127401637759146,-14.881707869771631,0.0015887819264381313,0.0007366606768740224,0.0008210314799494903,0.016274637503790237,0.011105879548290407,0.014711629906128544,0.11766213058532471,0.14349693116288653,0.11115639399577219,-0.45289216117759146,-0.05356938019571367,0.06658363821652441,-0.4502506249664126,-0.1704638672721579,-0.15815687215931046,0.002696878639426643,-0.14736515297899036,0.0015219810091800284,0.0073252722178354344,0.0003294897849911565,0.012736078046959016,-0.014864999998038558,-0.17477814604346148,0.00012120406207574786,0.00027659211002702426,0.006210567100387242,3.7577613316717206e-05,0.009285111187732363,0.10865091139382511,0.06110853076701901,1.3903811069309344e-05,0.006572051282353034,-0.0005952873237237757,5.2915915000645284e-05,0.011513458597274493,0.12901586510531965,0.07986839107579737,0.012568776901602255,0.005375936763166278,0.004964815950186268,5.004693377140802e-05,-0.006509752535659268,0.11048069125423575,0.0580298059848502,1.3326994430316623e-06,0.0024747856011190263,1.1722851863052929e-05
Distorsión armónica: VL3 (%V THD),0.5755110683091328,0.6433687425789528,0.5878219016748276,1.0910459292553316,1.073263671868411,0.9660366372119495,-1.1245724811588282,-9.885198449400763,-10.287973514996242,0.0010148706212634948,7.980297622478847e-05,0.00012067219633968563,0.012644483859921202,0.00873898401819767,0.011448164875808893,0.09243154631969025,0.11115639399577219,0.08991438636790666,-0.35212177421031426,-0.05374100874070401,0.02618202693484602,-0.35383552547191716,-0.14042994217712282,-0.12119107752329313,0.0011561553062619937,-0.11755453868986339,0.0013721742162766245,0.006603968796592993,0.0002515171591672658,0.00399702726630482,-0.021020257227663527,-0.14219514995467453,9.835204211918708e-05,-3.138345381564359e-05,0.005703650007825564,3.262299178178491e-05,0.004971456107999836,0.08391817676517463,0.0493103789338169,1.1180161744014176e-05,0.006192961934808937,-0.0005155744415116568,4.054328635249082e-05,0.008614744931721449,0.09953141581517078,0.06265037772565968,0.008847431312533436,0.005918948142203252,0.0037442154568030875,3.8659659354569475e-05,-0.005333202318877407,0.08543664686151729,0.04840508277250121,9.174934502578309e-07,0.0035799064619546155,3.8538059111055124e-05
Distorsión armónica: IL1 (%I THD),-4.869661408142591,-5.538295222385268,-5.04203304382669,-9.332361379782272,-9.440519705731331,-7.993978436589591,-20.037293692752268,341.0358599184024,314.3802562001022,-0.10714340465776004,-0.015472871368124332,0.0018750722776156741,0.040654136840284384,-0.0021429545603425895,0.03313387045337671,-0.28987543761377943,-0.45289216117759146,-0.35212177421031426,23.073534217720116,10.260906920897481,8.386662070765848,17.85708010710237,10.571586516219707,13.60910903423125,0.30045758053956767,5.486770304200659,-0.005697897335660203,-0.07104175477781086,0.003028276567593847,3.600414851390772,8.965504800463808,4.852835060056785,0.001350852005835247,-0.00722712807290674,1.382044711821153,0.00028568172822973176,0.20917110487942517,-1.1037402607030764,0.5358409300143526,0.00023267912402322654,-0.2656104444018189,0.0025013556465857682,7.058639167752271e-05,-0.1579852100761885,-1.3748777437035582,0.5055251328090403,0.10470430566849338,-0.07866026696352821,-0.08907556219519049,0.0001440064612877775,0.39582257190791237,-1.1315651237949311,0.4323358022105351,0.00017706152619288837,-0.22974729488490528,0.0011463376556335987
Distorsión armónica: IL2 (%I THD),-1.029011159803511,-1.1577638623296973,-1.3532457509344569,-2.1022806710921307,-2.065003797183345,-1.9677252162228829,13.466322355027993,100.79858214382797,84.46831544044593,-0.01229363334663089,0.024075220145473135,0.033289731643952894,0.04587697452317996,0.043117229675794136,0.043272401785248486,-0.014069372742795391,-0.05356938019571367,-0.05374100874070401,10.260906920897481,7.245995948358336,6.530397358411223,5.521251977082672,4.001553804773558,8.106297809587353,0.11280243157338557,3.3059776706649604,0.002678100227627809,0.05278151554698337,0.0020252853977328214,2.420272634414358,6.365377060388642,3.1265282528359326,0.001100393357174824,0.05463647018813123,0.9476922099745932,0.00011718752758070039,0.14673161296446874,-0.43094805786759455,0.3147714176274065,0.00013725804003158514,-0.13729999544979737,0.016920099421928132,-1.2595627804405585e-05,-0.05968580968306662,-0.5472093938541664,0.34798028016696075,0.1086710823245416,-0.0486593257384175,-0.0205852751127058,8.731309356118862e-05,0.22768526365874742,-0.4448271466267504,0.2736017025210868,5.369023397063624e-05,-0.12964910151149106,0.0020663203805538475
