PC1,PC2,PC3,PC4,PC5,PC6
-0.7925238083285735,-0.38622115373270427,-2.4731118126986633,2.681515165022451,0.12805376702536006,-0.2636624421249934
-0.617062809065876,-0.21388556609804293,-2.748909964992343,2.3571003352239797,0.45662799630684964,-0.43602303962078043
-0.6375600692534966,-0.12121489838301469,-2.7685308298391096,1.6509541079770185,0.5101437968390178,-0.7345688352444529
-0.0766219656240103,0.11400745373259517,-2.5821100424830066,2.6996748879708283,-0.12948570611384727,-0.5821009078849695
0.24603978813851976,0.2967567808942689,-2.6369468276508257,2.684131963662252,-0.24474138528599182,-0.680140897290064
0.28768324417614266,1.2115001278031723,-2.7298597292814013,2.583346924307622,1.0423270145569696,0.5163857475540794
0.38178109813171296,0.9343142333049012,-2.5801496244229933,2.531838288543768,0.10196025419966369,-0.26238226757218963
0.33131834860455833,1.1233658744005657,-2.5964013100831442,2.1308355616031642,0.7504704827714493,-0.830454060882366
0.24467695678000964,0.6367995614196302,-2.5223415770152804,2.14320050830352,-0.5071357667952769,-1.2531348666415272
0.49132240896110346,1.241374899726664,-2.510258810089576,2.3840340361513284,0.459053586870309,-0.1351102052088713
1.1874509028154354,2.0371329050747713,-1.1534250271231452,2.3830171799665476,0.03886089300395287,-0.46876056873342725
0.9693302947741834,2.1662635779123036,-0.8599423946957624,2.0356033150479687,0.7069935603051022,-1.0300983617357466
0.9097166652503824,2.1666262282748145,-0.8915212215123304,2.561208253200086,0.2288946152143864,0.22878378252831302
0.779428608441221,1.9914627282225474,-0.8529038369718112,2.1967243177108835,0.1850392894094827,-0.9547303124533291
0.8007667560459836,1.957564652528064,-0.8552556381945807,2.4486948108929534,-0.03425763043743268,-0.35846809801567303
0.7790259974342091,1.973477095588756,-0.85991116666194,2.174982235647511,0.206359082800356,-0.9717657954050872
0.8220172378008471,2.1194380535291524,-0.9122150812719328,2.5658553046319326,0.19413968145463292,0.24632759363709836
0.8047376671409237,2.1086301085447356,-0.9153249783454672,2.582295236972824,0.16534680367665314,0.26778962384091637
0.8143320837883296,1.7440259166654086,-0.8391051890958889,2.2010970871523954,0.1929391861370743,-0.931215101033434
0.908064919250065,1.8324254812355987,-0.7619022461231175,2.1803396325722733,0.9201120931632787,-0.3027003618102808
1.013905576022497,1.6385307073671993,-0.7268845416211174,2.237531621681971,0.22709054818669364,-0.9601873566006018
1.1525503151899388,2.019918169458692,-0.598131958341224,2.5419929740744696,0.6214134559361341,0.24877272990867375
1.1220192190071092,1.7979106914804686,-0.5222648595785733,2.5892458267109255,-0.06058114131241404,-0.39938417239492663
